value	count
trnA-UGC	216
trnN-GUU	208
trnR-ACG	200
trnV-GAC	199
rrn16	190
rrn4.5	189
rrn23	187
rrn5	181
trnI-GAU	170
trnM-CAU	145
trnL-UAA	115
trnK-UUU	115
trnV-UAC	104
trnE-UUC	103
trnR-UCU	102
trnP-UGG	102
trnL-UAG	102
trnH-GUG	102
trnC-GCA	102
trnS-GCU	101
trnL-CAA	101
trnW-CCA	100
trnT-UGU	100
trnR-CCG	100
trnQ-UUG	100
trnF-GAA	100
trnY-GUA	99
trnT-GGU	99
trnS-GGA	99
trnD-GUC	99
trnS-UGA	96
trnG-UCC	84
trnI-CAU	77
trnfM-CAU	75
trnP-GGG	73
trnG-GCC	67
trnL	54
trnF	48
trnI	41
trnH	22
trnC	13
trnV(GAC)	12
trnR(ACG)	12
trnN(GUU)	12
rrn5S	12
rrn4.5S	12
rrn23S	12
rrn16S	12
trnG	9
trnV	8
trnS-CGA	8
trnR	8
trnA	8
trnfM(CAU)	6
trnY(GUA)	6
trnW(CAA)	6
trnT(UGU)	6
trnT(GGU)	6
trnS(UGA)	6
trnS(GGA)	6
trnS(GCU)	6
trnS	6
trnR(CCG)	6
trnQ(UUG)	6
trnP(UGG)	6
trnM(CAU)	6
trnL(UAG)	6
trnL(CAA)	6
trnG(GCC)	6
trnF(GAA)	6
trnE(UUC)	6
trnD(GUC)	6
trnC(GCA)	6
trnT-CGU	5
trnV (GAC)	4
trnT	4
trnR(UCU)	4
trnR (ACG)	4
trnN (GUU)	4
trnN	4
trnK	4
trnI(CAU)	4
trnH(GUG)	4
5rrn	4
4.5rrn	4
23rrn	4
16rrn	4
trnl-GAU	2
trnl(CAU)	2
trnl (CAU)	2
trnfM (CAU)	2
trnfM	2
trnY	2
trnW (CAA)	2
trnW	2
trnV-AAC	2
trnT (UGU)	2
trnT (GGU)	2
trnS (UGA)	2
trnS (GGA)	2
trnS (GCU)	2
trnR (CCG)	2
trnQ (UUG)	2
trnQ	2
trnP (UGG)	2
trnP	2
trnM (CAU)	2
trnM	2
trnL (UAG)	2
trnI-UAU	2
trnH (GUG)	2
trnG-GGC	2
trnG (GCC)	2
trnF (GAA)	2
trnE (UUC)	2
trnE	2
trnD (GUC)	2
trnD	2
trnC (GCA)	2
rrn26	2
trnG-UUC	1
trnE-UC	1
