value	count
trnH-GUG	716
trnR-ACG	659
trnA-UGC	651
trnN-GUU	640
rrn5	637
rrn4.5	637
trnI-GAU	627
rrn16	619
rrn23	615
trnT-UGU	449
trnP-GGG	343
trnM-CAU	337
trnI-CAU	337
trnG-UCC	337
trnF-GAA	336
trnC-GCA	335
trnW-CCA	333
trnL-UAG	332
trnE-UUC	329
trnS-GGA	327
trnQ-UUG	326
trnY-GUA	324
trnD-GUC	324
trnT-GGU	322
trnS-GCU	320
trnR-UCU	320
trnS-UGA	318
trnP-UGG	318
trnfM-CAU	317
trnG-GCC	312
trnL-UAA	279
trnV-UAC	264
trnR-UCG	209
trnL-CAA	118
trnV-GAC	100
trnR-CCG	50
trnS-CGA	40
trnK-UUU	37
rrn5S	21
rrn4.5S	21
rrn23S	21
rrn16S	21
trnH	20
trnS	19
trnN-GTT	18
trnI-GAT	18
trnA-TGC	18
trnR-TCT	14
trnR	13
trnH-GTG	12
trnfM-CAT	9
trnY-GTA	9
trnV-TAC	9
trnT-GGT	9
trnT	9
trnS-TGA	9
trnS-GCT	9
trnM-CAT	9
trnL-TAG	9
trnL-CAG	9
trnI-CAT	9
trnE-TTC	9
trnD-GTC	9
trnQ-TTG	8
trnG-TCC	8
trnP-TGG	7
trnP	7
trnL	7
trnG	7
trnT-TGT	6
trnL-TAA	6
trnW	5
trnV	5
trnN	5
trnM	5
trnI	5
trnV-CAC	4
trnP-UUG	4
trnA	4
trnY	3
trnSeC	3
trnM(CAT)	3
trnK-CUU	3
trnF	3
trnE	3
trnD	3
trnC	3
trnfM	2
trnV(GAC)	2
trnS-UGA%3B trnS-GCU	2
trnS-GCU%3B trnS-GGA%3B trnS-UGA	2
trnR-Arg	2
trnR(ACG)	2
trnQ	2
trnN(GTT)	2
trnK	2
trnI(GAT)	2
trnG-GUG	2
trnA(TGC)	2
tRNA-Ala	2
trnY(GTA)	1
trnW(CCA)	1
trnV(TAC)	1
trnT-CGU	1
trnT(GGT)	1
trnSeC-TCA	1
trnS(TGA)	1
trnS(GGA)	1
trnS(GCT)	1
trnS(CGA)	1
trnR(TCT)	1
trnR(CCG)	1
trnQ(TTG)	1
trnP(TGG)	1
trnP(GGG)	1
trnL(TAG)	1
trnL(TAA)	1
trnL(CAA)	1
trnK(TTT)	1
trnH(GTG)	1
trnG(TCC)	1
trnG(GCC)	1
trnF(GAA)	1
trnE(TTC)	1
trnD(GTC)	1
trnC(GCA)	1
