value	count
rps12	777
psbA	412
rps7	377
ycf2	346
psbI	345
rpl2	341
petB	339
petD	337
rpl16	336
ycf3	330
psbD	329
rps4	325
atpF	325
rps8	322
rps19	322
rps15	322
psbB	322
petL	322
rps3	321
rps14	321
rps11	321
rpoC1	321
psbT	321
psbM	321
psbH	321
psaA	321
atpA	321
rpoC2	320
rpoA	320
rpl14	320
psbK	320
psbE	320
psaB	320
infA	320
atpH	320
rpl36	319
rpl22	319
psbF	319
psaC	319
petG	319
atpI	319
atpE	319
rpoB	318
psbN	318
psbJ	318
chlN	318
ccsA	318
atpB	318
psbL	317
petA	317
rpl33	316
rpl20	316
ycf4	315
rps18	315
psaJ	315
chlL	315
psbZ	314
matK	314
petN	313
chlB	312
cemA	311
psbC	310
ycf1	308
rps2	308
psaI	308
rbcL	306
accD	289
ndhB	278
rpl32	274
clpP	268
rpl23	253
psaM	237
ndhK	220
ndhH	211
ndhC	211
ndhD	209
ndhA	205
ndhI	204
ndhE	203
ndhJ	199
ndhF	199
ndhG	198
ycf12	173
rps16	112
ycf68	27
rbcl	12
tufA	11
rps	11
psal	11
ycf10	8
pbf1	4
orf75	4
orf67	4
orf65	4
orf64e	4
orf60	4
orf130	4
orf107	4
lhbA	4
ropC1	3
psi-ycf2	3
psi-ndhK	3
psi-ndhD	3
psi-ndhC	3
psb30	3
pafII	3
clpP1	3
psi-ndhH	2
psi-ndhB	2
psbZ/lhbA	2
psbA_3'	2
petn	2
pafI	2
orf82	2
orf74	2
orf73	2
orf72a	2
orf64d	2
orf64c	2
orf64a	2
orf63	2
orf42	2
chIL	2
ycf15	1
psi-ycf68	1
psbD-UGC	1
petN%3B petn	1
orf71	1
orf188	1
infA-2	1
chIL%3B chlL	1
chIB	1
Ycf3	1
ORF223	1
3'rps12	1
