value	count
trnR-ACG	148
trnI-GAU	148
trnA-UGC	148
trnV-GAC	146
trnN-GUU	146
rrn5	84
rrn23	84
rrn4.5	83
trnM-CAU	79
trnV-UAC	76
trnY-GUA	74
trnW-CCA	74
trnT-UGU	74
trnS-UGA	74
trnS-GGA	74
trnS-GCU	74
trnR-UCU	74
trnR-CCG	74
trnQ-UUG	74
trnP-UGG	74
trnL-UAA	74
trnH-GUG	74
trnF-GAA	74
trnD-GUC	74
trnC-GCA	74
trnG-UCC	73
trnT-GGU	72
trnL-UAG	72
trnG-GCC	72
trnfM-CAU	69
trnI-CAU	66
rrn16	58
trnL-CAA	48
trnK-UUU	48
trnE-UUC	42
trnE-UGA	32
trnK	26
tRNA	26
trnN	8
5rrn	4
4.5rrn	4
23rrn	4
16rrn	4
trnY (GUA)	2
trnS-GCA	2
trnR (UCU)	2
trnP-GGG	2
tRNA-fMet-CAU	2
trnW (CCA)	1
trnV (UAC)	1
trnS (UGA)	1
trnS (GCU)	1
trnR (ACG)	1
trnQ (UUG)	1
trnP (UGG)	1
trnN (GUU)	1
trnMf (CAU)	1
trnM (CAU)	1
trnL (UAG)	1
trnL (UAA)	1
trnL (CAA)	1
trnK (UUU)	1
trnI (CAU)	1
trnH (GUG)	1
trnG (UCC)	1
trnG (GCC)	1
trnF (GAA)	1
trnE (UUC)	1
trnD (GUC)	1
trnC (GCA)	1
trnA (UGC)	1
rrn26	1
rrn18	1
