value	count
rps12	181
rps7	116
ycf2	104
rps4	99
ndhB	98
psbM	95
psbA	92
psbK	90
ycf3	86
petN	83
rpl2	82
petD	82
clpP	82
atpF	82
rps8	81
rps3	81
rpl23	81
rbcL	81
psbZ	81
psbT	81
psbN	81
psbJ	81
psbI	81
psbH	81
psbF	81
psbE	81
psbC	81
psbB	81
psaI	81
psaC	81
psaB	81
psaA	81
petL	81
petG	81
petA	81
atpH	81
atpE	81
atpB	81
atpA	81
rpoC1	80
rpoA	80
ycf4	79
rps19	79
rps11	79
rpoB	79
rpl22	79
psbL	79
psbD	79
psaJ	79
petB	79
ccsA	79
atpI	79
ycf1	78
rpl16	78
ycf12	77
rps18	77
rps14	77
rpoC2	76
chlL	76
chlB	76
chlN	74
rpl36	73
rpl20	72
rpl14	72
ndhI	70
ndhG	70
ndhF	70
ndhE	70
ndhC	69
matK	68
rpl33	67
ndhH	67
ndhA	67
rps2	65
ndhK	65
ndhJ	65
ndhD	65
psaM	61
infA	58
rpl21	55
rpl32	49
rps15	47
accD	46
ycf66	45
cemA	45
rps16	34
tufA	25
ycf10	3
rps12_3end	2
rpoc2	2
fMet	2
rpoA like	1
ORF87	1
ORF1601	1
