value	count
rps12	1133
psbA	758
rps7	632
ycf2	607
ndhB	551
rpl32	346
ccsA	343
rpl21	341
ycf1	340
rbcL	340
psbM	340
psbB	340
psaB	340
matK	340
atpF	340
rps4	339
rps15	339
psbD	339
psbC	339
psaC	339
psaA	339
petG	339
atpH	339
atpB	339
rpoC2	338
rpl23	338
rpl16	338
rpl14	338
psbT	338
psbL	338
psbJ	338
psbI	338
psbH	338
petD	338
petB	338
ndhF	338
atpE	338
accD	338
rps8	337
rps19	337
rps18	337
rpoC1	337
rpl33	337
rpl22	337
rpl20	337
psbK	337
psbE	337
psaJ	337
psaI	337
clpP	337
atpI	336
petN	335
petL	335
rps14	334
psbF	334
chlN	334
chlL	334
chlB	334
rps3	333
rpoB	333
rpoA	333
rpl2	333
ndhK	333
ndhI	333
ndhD	333
ndhC	333
atpA	333
rps2	332
rps11	332
rpl36	332
psbZ	332
petA	332
ndhJ	332
ndhE	332
infA	332
ycf4	331
psbN	331
cemA	331
ycf3	330
ndhG	330
ndhA	330
ndhH	329
ycf12	319
rps16	303
psaM	85
ycf94	35
ycf66	30
rns	14
rnl	14
ycf68	8
psb30	8
ycf10	5
lhbA	5
pbf1	4
pafII	4
pafI	4
orf42	4
clpP1	4
nad1	3
ycf3]	2
qrn23	2
psac	2
matk	2
chLB	2
Ycf4	2
Ycf3	2
Ycf1	2
ORF531	2
ORF436	2
ORF372	2
ORF295	2
ORF187	2
ORF135	2
3'rps12	2
rps12_5end	1
rps12_3end	1
psbG	1
orf188	1
5'rps12	1
