url,genes,len
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=97234,"matK,rps16,chlB,trnQ-UUG,psbK,psbI,trnG-UCC,trnR-UCU,atpA,atpF,atpH,atpI,rps2,rpoC2,rpoC1,rpoB,trnD-GUC,trnY-GUA,trnE-UUC,psbM,petN,trnC-GCA,trnG-GCC,psbZ,trnS-UGA,trnS-GCU,psbC,psbD,trnT-GGU,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-GGA,rps4,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnM-CAU,atpE,atpB,rbcL,accD,psaI,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnR-ACG,rrn5,rrn4.5,rrn23,trnA-UGC,rrn16,psbA,trnH-GUG,ycf2,trnN-GUU,ndhF,rpl32,trnP-GGG,trnL-UAG,ccsA,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,ycf1,chlN,chlL,trnN-GUU,ycf2,trnH-GUG,psbA,rps7,rrn16,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG",121
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=641179,"matK,ycf94,chlB,trnQ-UUG,psbK,psbI,trnS-GCU,ycf12,trnG-UCC,trnR-UCU,atpA,atpF,atpH,atpI,rps2,rpoC2,rpoC1,rpoB,trnD-GUC,trnY-GUA,trnE-UUC,psbM,petN,trnC-GCA,trnG-GCC,psbZ,trnS-UGA,psbC,psbD,trnT-GGU,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-GGA,rps4,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-UCG,accD,psaI,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnR-ACG,rrn5,rrn4.5,trnA-UGC,trnI-GAU,rps7,psbA,trnH-GUG,ycf2,trnN-GUU,ndhF,rpl21,rpl32,trnP-GGG,trnL-UAG,ccsA,ndhD,psac,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,ycf1,chlN,chlL,trnN-GUU,ycf2,trnH-GUG,psbA,rps7,rps12,rps12,trnI-GAU,trnA-UGC,rrn4.5,rrn5,trnR-ACG,ndhB,ndhB",128
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=2563973,"rps7,ndhB,trnL-CAA,ycf2,trnH-GUG,psbA,trnK-UUU,matK,chlB,trnQ-UUG,psbK,trnS-CGA,psbI,trnS-GCU,psaM,ycf12,trnG-GCC,trnR-UCU,atpA,atpF,atpH,atpI,rps2,rpoC2,rpoC1,rpoB,trnC-GCA,petN,psbM,trnD-GUC,trnY-GUA,trnE-UUC,trnG-UCC,psbZ,trnS-UGA,psbC,psbD,trnT-GGU,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-GGA,rps4,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,accD,psaI,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,rrn16,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,trnP-GGG,trnL-UAG,ccsA,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,ycf1,chlN,chlL,trnN-GUU,trnR-ACG,rrn5,rrn4.5,rrn23,trnA-UGC,trnI-GAU,rrn16,trnV-GAC",130
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=274215,"psbA,trnH-GUG",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=164655,"ycf2,trnH-GTG,psbA,matK,rps16,chlB,trnQ-TTG,psbK,psbI,trnS-GCT,psaM,ycf12,trnG-TCC,trnR-TCT,atpA,atpF,atpH,atpI,rps2,rpoC2,rpoC1,rpoB,trnC-GCA,petN,psbM,trnD-GTC,trnY-GTA,trnE-TTC,trnG-GCC,psbZ,trnS-TGA,psbC,psbD,trnT-GGT,trnfM-CAT,rps14,psaB,psaA,ycf3,trnS-GGA,rps4,trnL-TAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-TAC,trnM-CAT,atpE,atpB,rbcL,trnR-CCG,accD,psaI,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-TGG,psaJ,rpl33,rps18,rpl20,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAT,trnL-CAA,ndhB,rps7,rps12,rps12,trnV-GAC,rrn16,trnI-GAT,trnA-TGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GTT,ndhF,rpl21,rpl32,trnP-GGG,trnL-TAG,ccsA,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,ycf1,chlN,chlL,trnN-GTT,trnR-ACG,rrn5,rrn4.5,rrn23,trnA-TGC,trnI-GAT,rrn16",128
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=2072651,"psbA,trnH-GUG",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=104588,"matK,rps16,chlB,trnQ-UUG,psbK,psbI,trnS-GCU,ycf12,trnG-UCC,trnR-TCT,atpA,atpF,atpH,atpI,rps2,rpoC2,rpoC1,rpoB,trnD-GUC,trnY-GUA,trnE-UUC,psbM,petN,trnC-GCA,trnG-GCC,psbZ,trnS-UGA,psbC,psbD,trnT-GGU,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-GGA,rps4,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-UCG,accD,psaI,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,ndhB,trnT-UGU,trnR-ACG,rrn5,rrn4.5,rrn23,trnA-UGC,trnI-GAU,rrn16,rps7,psbA,trnH-GUG,ycf2,trnN-GUU,ndhF,rpl21,rpl32,trnP-GGG,trnL-UAG,ccsA,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,ycf1,chlN,chlL,trnN-GUU,ycf2,trnH-GUG,psbA,rps7,rps12,rps12,rrn16,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnT-UGU,ndhB",134
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=29625,"trnH-GUG,psbA,matK,rps16,chlB,trnQ-UUG,psbK,psbI,trnS-GCU,psaM,psb30,trnG-UCC,trnR-UCU,atpA,atpF,atpH,atpI,rps2,rpoC2,rpoC1,rpoB,trnC-GCA,petN,psbM,trnD-GUC,trnY-GUA,trnE-UUC,trnG-GCC,psbZ,trnS-UGA,psbC,psbD,trnT-GGU,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-GGA,rps4,trnL-CAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-UCG,accD,psaI,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnL-CAG,ndhB,rps7,rps12,rps12,trnV-GAC,rrn16,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,trnP-GGG,trnL-UAG,ccsA,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,ycf1,chlN,chlL,trnN-GUU,trnR-ACG,rrn5,rrn4.5,rrn23,trnA-UGC,trnI-GAU,rrn16,trnV-CAC,rps7,ndhB,trnL-CAG,ycf2",134
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=419273,"psbA,trnH-GUG",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=451084,"matK,rps16,chlB,trnQ-UUG,psbK,psbI,trnS-GCU,ycf12,trnG-UCC,trnR-UCU,atpA,atpF,atpH,atpI,rps2,rpoC2,rpoC1,rpoB,trnD-GUC,trnY-GUA,trnE-UUC,psbM,petN,trnC-GCA,trnG-GCC,psbZ,trnS-UGA,psbC,psbD,trnT-GGU,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-GGA,rps4,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-UCG,accD,psaI,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnT-UGU,trnR-ACG,rrn5,rrn4.5,rrn23,trnA-UGC,trnI-GAU,rrn16,rps7,psbA,trnH-GUG,ycf2,trnN-GUU,chlL,chlN,ycf1,rps15,ndhH,ndhA,ndhI,ndhG,ndhE,psaC,ndhD,ccsA,trnL-UAG,trnP-GGG,rpl32,rpl21,ndhF,trnN-GUU,ycf2,trnH-GUG,psbA,rps7,rps12,rps12,rrn16,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnT-UGU,ndhB",132
